"id","name","height","weight","genus","description"
44,"Gloom",8,86,"Weed Pokémon","From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
45,"Vileplume",12,186,"Flower Pokémon","Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them."
46,"Paras",3,54,"Mushroom Pokémon","Mushrooms called tochukaso sprout from its
back. They can be dried and powdered to make
a medicine used to extend life."
47,"Parasect",10,295,"Mushroom Pokémon","It scatters toxic spores from its mushroom cap.
Once harvested, these spores can be steeped
and boiled down to prepare herbal medicines."
48,"Venonat",10,300,"Insect Pokémon","Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
49,"Venomoth",15,125,"Poison Moth Pokémon","Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
50,"Diglett",2,8,"Mole Pokémon","Many farmers cherish and nurture Diglett
because its droppings enrich the soil it lives in."
51,"Dugtrio",7,333,"Mole Pokémon","Despite the closeness between this Pokémon
and farmers and other people, no one has ever
seen the parts of it concealed underground."
52,"Meowth",4,42,"Scratch Cat Pokémon","It loves shiny things. It often fights with
Murkrow over prey they’re both trying to catch."
53,"Persian",10,320,"Classy Cat Pokémon","It has a high opinion of itself, although not to
the same extent as the Alolan Persian. It’s quite
difficult to make friends with this Pokémon."
54,"Psyduck",8,196,"Duck Pokémon","This Pokémon is troubled by constant
headaches. The more pain it’s in, the more
powerful its psychokinesis becomes."
55,"Golduck",17,766,"Duck Pokémon","It swims along the banks of lakes and catches
fish Pokémon. It takes them to the shore and
quietly eats them up."
56,"Mankey",5,280,"Pig Monkey Pokémon","Its raging tires it out and causes it to fall asleep,
but the anger resonating in its dreams causes it
to wake up—which infuriates it all over again."
57,"Primeape",10,320,"Pig Monkey Pokémon","Some researchers theorize that Primeape
remains angry even when inside a Poké Ball."
58,"Growlithe",7,190,"Puppy Pokémon","It looks cute, but when you approach another
Trainer’s Growlithe, it will bark at you and bite."
59,"Arcanine",19,1550,"Legendary Pokémon","The fire burning inside its body serves as the
energy to fuel it as it runs great distances.
It appears in many legends."
60,"Poliwag",6,124,"Tadpole Pokémon","It’s still not very good at walking. Its Trainers
should train this Pokémon to walk every day."
61,"Poliwhirl",10,200,"Tadpole Pokémon","It marches over the land in search of bug
Pokémon to eat. Then it takes them underwater
so it can dine on them where it’s safe."
62,"Poliwrath",13,540,"Tadpole Pokémon","Its percentage of body fat is nearly zero. Its
body is entirely muscle, which makes it heavy
and forces its swimming prowess to develop."
63,"Abra",9,195,"Psi Pokémon","It can teleport itself to safety while it’s asleep,
but when it wakes, it doesn’t know where it is,
so it panics."
64,"Kadabra",13,565,"Psi Pokémon","Kadabra’s presence infests televisions and
monitors with creepy shadows that bring
bad luck."
65,"Alakazam",15,480,"Psi Pokémon","Its brain cells continue to increase in number
until its death. The older the Alakazam, the
larger its head."
66,"Machop",8,195,"Superpower Pokémon","With its superhuman strength, it’s able to throw
a hundred people all at the same time. Its
strength comes from lifting Graveler every day."
67,"Machoke",15,705,"Superpower Pokémon","It willingly assists with hard labor because it
knows the work is good training for its muscles."
68,"Machamp",16,1300,"Superpower Pokémon","It can lift heavy loads with the greatest of ease.
It can even heft dump trucks. But its clumsy
fingers prevent it from doing any precision work."
69,"Bellsprout",7,40,"Flower Pokémon","Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron."
70,"Weepinbell",10,64,"Flycatcher Pokémon","Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
71,"Victreebel",17,155,"Flycatcher Pokémon","Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole."
72,"Tentacool",9,455,"Jellyfish Pokémon","It drifts in shallow seas, such as the areas near
beaches. If you get bitten or stabbed by its
toxic tentacles, rush to the hospital."
73,"Tentacruel",16,550,"Jellyfish Pokémon","Although these Pokémon are rare, when a large
outbreak of them occurs, all fish Pokémon
disappear from the surrounding sea."
74,"Geodude",4,200,"Rock Pokémon","There are plenty of them to be found along any
road. A scholar with too much free time once
counted a hundred of them along a single route."
75,"Graveler",10,1050,"Rock Pokémon","This slow-footed Pokémon moves by curling up
and rolling instead of walking. With enough
momentum, its speed can exceed 60 mph."
76,"Golem",14,3000,"Megaton Pokémon","Once a year, this Pokémon molts, and its shed
shell returns to the soil. This process creates
enriched soil, so farmers collect the shells."
77,"Ponyta",10,300,"Fire Horse Pokémon","Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent."
78,"Rapidash",17,950,"Fire Horse Pokémon","Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
79,"Slowpoke",12,360,"Dopey Pokémon","Alolan home cooking involves drying Slowpoke
tails and then simmering them into a salty stew."
80,"Slowbro",16,785,"Hermit Crab Pokémon","Whenever Shellder bites down hard on its tail,
it gives Slowbro a flash of inspiration...which it
forgets a moment later."
81,"Magnemite",3,60,"Magnet Pokémon","It sends out electromagnetic waves, which let it
float through the air. Touching it while it’s eating
electricity will give you a full-body shock."
82,"Magneton",10,600,"Magnet Pokémon","It has about three times the electrical power of
Magnemite. For some reason, outbreaks of this
Pokémon happen when lots of sunspots appear."
83,"Farfetch’d",8,150,"Wild Duck Pokémon","Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks."
84,"Doduo",14,392,"Twin Bird Pokémon","Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains."
85,"Dodrio",18,852,"Triple Bird Pokémon","Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
86,"Seel",11,900,"Sea Lion Pokémon","Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
87,"Dewgong",17,1200,"Sea Lion Pokémon","Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
88,"Grimer",9,300,"Sludge Pokémon","It was born from sludge transformed by
exposure to X-rays from the moon. When its
internal load of germs decreases, it dies."
89,"Muk",12,300,"Sludge Pokémon","After recent environmental improvements, this
Pokémon is now hardly seen at all. People
speculate that it may go extinct at some point."
90,"Shellder",3,40,"Bivalve Pokémon","This Pokémon’s tongue is always hanging out.
It uses its tongue with great dexterity to dig up
sand from the seabed in its search for food."
91,"Cloyster",15,1325,"Bivalve Pokémon","Excavation of the tombs of ancient hunting
tribes has turned up many spears tipped with
spikes that had fallen off this Pokémon’s shell."
92,"Gastly",13,1,"Gas Pokémon","Although Gastly is barely visible, when it’s near,
a faint sweet smell lingers."
93,"Haunter",16,1,"Gas Pokémon","It fears the light and revels in the dark. It may
be on the verge of extinction in cities that stay
brightly lit at night."
94,"Gengar",15,405,"Shadow Pokémon","It apparently wishes for a traveling companion.
Since it was once human itself, it tries to create
one by taking the lives of other humans."
95,"Onix",88,2100,"Rock Snake Pokémon","Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
96,"Drowzee",10,324,"Hypnosis Pokémon","It finds really fun dreams tasty. When it makes
friends with people, it may show them the most
delicious dreams it’s ever eaten."
97,"Hypno",16,756,"Hypnosis Pokémon","As a matter of course, it makes anyone it meets
fall asleep and has a taste of their dreams.
Anyone having a good dream, it carries off."
98,"Krabby",4,65,"River Crab Pokémon","Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory."
99,"Kingler",13,600,"Pincer Pokémon","Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires."
100,"Voltorb",5,104,"Ball Pokémon","Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy."
101,"Electrode",12,666,"Ball Pokémon","One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
102,"Exeggcute",4,25,"Egg Pokémon","Six of them together form a full-fledged
Pokémon. It’s often hunted by Crabrawler,
but uses psychokinesis to drive it off."
103,"Exeggutor",20,1200,"Coconut Pokémon","When the time comes, one of its three heads
falls off. Before long, the fallen head grows into
an Exeggcute."
104,"Cubone",4,65,"Lonely Pokémon","The skull it wears on its head is that of its dead
mother. According to some, it will evolve when
it comes to terms with the pain of her death."
105,"Marowak",10,450,"Bone Keeper Pokémon","This Pokémon is out for vengeance on its natural
enemy, Mandibuzz. It throws bones like
boomerangs to try to take it down."
106,"Hitmonlee",15,498,"Kicking Pokémon","Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
107,"Hitmonchan",14,502,"Punching Pokémon","Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity."
108,"Lickitung",12,655,"Licking Pokémon","Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
109,"Koffing",6,10,"Poison Gas Pokémon","Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon."
110,"Weezing",12,95,"Poison Gas Pokémon","Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid."
111,"Rhyhorn",10,1150,"Spikes Pokémon","Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
112,"Rhydon",19,1200,"Drill Pokémon","Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
113,"Chansey",11,346,"Egg Pokémon","Not only are these Pokémon fast runners,
they’re also few in number, so anyone who finds
one must be lucky indeed."
114,"Tangela",10,350,"Vine Pokémon","Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
115,"Kangaskhan",22,800,"Parent Pokémon","The child in its pouch leaves home after roughly
three years. That is the only time the mother is
heard to cry wildly."
116,"Horsea",4,80,"Dragon Pokémon","If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back."
117,"Seadra",12,250,"Dragon Pokémon","Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole."
118,"Goldeen",6,150,"Goldfish Pokémon","Spellbound by the length of its horn and the
beauty of its fins, many strange Trainers raise
Goldeen and nothing but Goldeen."
119,"Seaking",13,390,"Goldfish Pokémon","Trainers who are crazy for Seaking are divided
into horn enthusiasts and fin enthusiasts.
The two groups do not get along well."
120,"Staryu",8,345,"Star Shape Pokémon","This Pokémon gets nibbled on by Lumineon and
others. Thanks to its red core, it regenerates
fast, so it’s unconcerned by their snack attacks."
121,"Starmie",11,800,"Mysterious Pokémon","Its unusual body shape, reminiscent of abstract
art, led local people to spread rumors that this
Pokémon may be an invader from outer space."
122,"Mr. Mime",13,545,"Barrier Pokémon","Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
123,"Scyther",15,560,"Mantis Pokémon","While young, they live together deep in the
mountains, training themselves in how to fight
with their scythes and move at high speeds."
124,"Jynx",14,406,"Human Shape Pokémon","Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
125,"Electabuzz",11,300,"Electric Pokémon","Electricity leaks from it in amounts far greater
than the amount of electricity it eats."
126,"Magmar",13,445,"Spitfire Pokémon","When angered, it spouts brilliant fire from all
over its body. It doesn’t calm down until its
opponent has burned to ash."
127,"Pinsir",15,550,"Stag Beetle Pokémon","One solid blow from its horns is enough to split
apart a large tree. Its greatest rival in Alola
is Vikavolt."
128,"Tauros",14,884,"Wild Bull Pokémon","Although it’s known to be a fierce Pokémon,
Tauros in the Alola region are said to possess
a measure of calmness."
129,"Magikarp",9,100,"Fish Pokémon","Its reckless leaps make it easy pickings for
predators. On the bright side, many Pokémon
enjoy longer life spans, thanks to Magikarp."
130,"Gyarados",65,2350,"Atrocious Pokémon","There are people who swear that any place
Gyarados appears is fated for destruction."
131,"Lapras",25,2200,"Transport Pokémon","These Pokémon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them."
132,"Ditto",3,40,"Transform Pokémon","With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto."
133,"Eevee",3,65,"Evolution Pokémon","Current studies show it can evolve into an
incredible eight different species of Pokémon."
134,"Vaporeon",10,290,"Bubble Jet Pokémon","Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish Pokémon."
135,"Jolteon",8,245,"Lightning Pokémon","When its fur stands on end, that’s a sign it’s
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too."
136,"Flareon",9,250,"Flame Pokémon","Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees."
137,"Porygon",8,365,"Virtual Pokémon","It can convert its body into digital data,
which enables it to enter cyberspace."
138,"Omanyte",4,75,"Spiral Pokémon","Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,"Omastar",10,350,"Spiral Pokémon","Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,"Kabuto",5,115,"Shellfish Pokémon","Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokémon has not changed at all for
300 million years."
141,"Kabutops",13,405,"Shellfish Pokémon","Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,"Aerodactyl",18,590,"Fossil Pokémon","In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact."
143,"Snorlax",21,4600,"Sleeping Pokémon","It eats nearly 900 pounds of food every day.
It starts nodding off while eating—and continues
to eat even while it’s asleep."
144,"Articuno",17,554,"Freeze Pokémon","Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall."
145,"Zapdos",16,526,"Electric Pokémon","Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts."
146,"Moltres",20,600,"Flame Pokémon","Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,"Dratini",18,33,"Dragon Pokémon","After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence."
148,"Dragonair",40,165,"Dragon Pokémon","From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather."
149,"Dragonite",22,2100,"Dragon Pokémon","Incur the wrath of this normally calm Pokémon
at your peril, because it will smash everything
to smithereens before it’s satisfied."
150,"Mewtwo",20,1220,"Genetic Pokémon","Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart."
151,"Mew",4,40,"New Species Pokémon","Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,"Chikorita",9,64,"Leaf Pokémon","In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around."
153,"Bayleef",12,158,"Leaf Pokémon","Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,"Meganium",18,1005,"Herb Pokémon","The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit."
155,"Cyndaquil",5,79,"Fire Mouse Pokémon","Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,"Quilava",9,190,"Volcano Pokémon","Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,"Typhlosion",17,795,"Volcano Pokémon","Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders."
158,"Totodile",6,95,"Big Jaw Pokémon","Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,"Croconaw",11,250,"Big Jaw Pokémon","Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,"Feraligatr",23,888,"Big Jaw Pokémon","Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,"Sentret",8,60,"Scout Pokémon","When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,"Furret",18,325,"Long Body Pokémon","Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet."
163,"Hoothoot",7,212,"Owl Pokémon","Hoothoot has an internal organ that senses and tracks the
earth’s rotation. Using this special organ, this Pokémon
begins hooting at precisely the same time every day."
164,"Noctowl",16,408,"Owl Pokémon","Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,"Ledyba",10,108,"Five Star Pokémon","They communicate with one another using bodily
fluids that give off odors. When they’re angry,
their odor smells sour."
166,"Ledian",14,356,"Five Star Pokémon","In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality."
167,"Spinarak",5,85,"String Spit Pokémon","Some fishermen weave its sturdy thread into
nets to catch fish Pokémon."
168,"Ariados",11,335,"Long Leg Pokémon","It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure."
169,"Crobat",18,750,"Bat Pokémon","Silent and swift in its four-winged flight, it bites
down on its prey before they realize what’s
happening. In a heartbeat, it drains their blood."
170,"Chinchou",5,120,"Angler Pokémon","It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind."
171,"Lanturn",12,225,"Light Pokémon","This Pokémon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack."
172,"Pichu",3,20,"Tiny Mouse Pokémon","Despite this Pokémon’s cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts."
173,"Cleffa",3,30,"Star Shape Pokémon","Because of its silhouette, it’s believed to be a
star reborn. For some reason, it loves Minior."
174,"Igglybuff",3,10,"Balloon Pokémon","It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma."
175,"Togepi",3,15,"Spike Ball Pokémon","As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others."
176,"Togetic",6,32,"Happiness Pokémon","Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,"Natu",2,20,"Tiny Bird Pokémon","Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots."
178,"Xatu",15,150,"Mystic Pokémon","Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future."
